               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  95,             0.03609,            0.051091,                   0,             0.82027,             0.95556,             0.94952,             0.69673,            0.019216,            0.028277,                   0,            0.005347,            0.005347,            0.005347
                  96,            0.031472,            0.040259,                   0,             0.82027,             0.95556,             0.94952,             0.69673,            0.019216,            0.028277,                   0,           0.0052975,           0.0052975,           0.0052975
                  97,            0.033516,            0.049376,                   0,             0.82027,             0.95556,             0.94952,             0.69673,            0.019216,            0.028277,                   0,            0.005248,            0.005248,            0.005248
                  98,            0.029757,            0.045335,                   0,             0.86196,             0.95556,             0.96388,             0.72036,            0.018569,             0.02782,                   0,           0.0051985,           0.0051985,           0.0051985
                  99,            0.030538,            0.042105,                   0,             0.86196,             0.95556,             0.96388,             0.72036,            0.018569,             0.02782,                   0,            0.005149,            0.005149,            0.005149
                 100,            0.029637,            0.041457,                   0,             0.89831,                   1,             0.96979,              0.7369,            0.016105,            0.027872,                   0,           0.0050995,           0.0050995,           0.0050995
                 101,            0.027531,            0.046405,                   0,             0.89831,                   1,             0.96979,              0.7369,            0.016105,            0.027872,                   0,             0.00505,             0.00505,             0.00505
                 102,            0.028834,             0.04915,                   0,             0.73371,             0.95556,             0.91197,             0.63309,            0.023483,            0.030545,                   0,           0.0050005,           0.0050005,           0.0050005
                 103,            0.034758,            0.045833,                   0,             0.73371,             0.95556,             0.91197,             0.63309,            0.023483,            0.030545,                   0,            0.004951,            0.004951,            0.004951
                 104,            0.034753,            0.046257,                   0,             0.89611,             0.95849,             0.98418,             0.50462,            0.022268,            0.032082,                   0,           0.0049015,           0.0049015,           0.0049015
                 105,            0.031611,            0.044215,                   0,             0.89611,             0.95849,             0.98418,             0.50462,            0.022268,            0.032082,                   0,            0.004852,            0.004852,            0.004852
                 106,            0.030625,             0.04528,                   0,             0.89611,             0.95849,             0.98418,             0.50462,            0.022268,            0.032082,                   0,           0.0048025,           0.0048025,           0.0048025
                 107,            0.029623,            0.039508,                   0,             0.82728,             0.95796,             0.97635,             0.51029,            0.023158,            0.032369,                   0,            0.004753,            0.004753,            0.004753
                 108,            0.030041,            0.045504,                   0,             0.82728,             0.95796,             0.97635,             0.51029,            0.023158,            0.032369,                   0,           0.0047035,           0.0047035,           0.0047035
                 109,            0.028054,            0.039694,                   0,             0.97654,                   1,             0.99261,             0.77543,            0.012813,            0.026573,                   0,            0.004654,            0.004654,            0.004654
                 110,            0.025225,            0.047956,                   0,             0.97654,                   1,             0.99261,             0.77543,            0.012813,            0.026573,                   0,           0.0046045,           0.0046045,           0.0046045
                 111,            0.026341,            0.040781,                   0,             0.95743,             0.99948,             0.99015,              0.7048,            0.018683,            0.028828,                   0,            0.004555,            0.004555,            0.004555
                 112,            0.033465,            0.040524,                   0,             0.95743,             0.99948,             0.99015,              0.7048,            0.018683,            0.028828,                   0,           0.0045055,           0.0045055,           0.0045055
                 113,            0.032694,            0.041996,                   0,             0.86407,             0.98893,             0.96428,             0.63943,            0.021325,            0.028523,                   0,            0.004456,            0.004456,            0.004456
                 114,            0.031415,            0.039169,                   0,             0.86407,             0.98893,             0.96428,             0.63943,            0.021325,            0.028523,                   0,           0.0044065,           0.0044065,           0.0044065
                 115,             0.03279,            0.041653,                   0,             0.86407,             0.98893,             0.96428,             0.63943,            0.021325,            0.028523,                   0,            0.004357,            0.004357,            0.004357
                 116,            0.031123,            0.038103,                   0,             0.84938,             0.97778,             0.94812,             0.70206,            0.021455,            0.028316,                   0,           0.0043075,           0.0043075,           0.0043075
                 117,            0.029966,            0.041103,                   0,             0.84938,             0.97778,             0.94812,             0.70206,            0.021455,            0.028316,                   0,            0.004258,            0.004258,            0.004258
                 118,            0.029698,            0.036835,                   0,             0.89209,             0.97778,             0.97598,             0.77088,             0.02056,            0.027745,                   0,           0.0042085,           0.0042085,           0.0042085
