               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  96,             0.02925,            0.042321,                   0,             0.87797,             0.95556,             0.96746,             0.69502,            0.023944,            0.035671,                   0,            0.002476,            0.002476,            0.002476
                  97,            0.029957,             0.05086,                   0,             0.87797,             0.95556,             0.96746,             0.69502,            0.023944,            0.035671,                   0,           0.0023968,           0.0023968,           0.0023968
                  98,            0.025768,            0.047162,                   0,             0.91884,             0.95556,             0.97385,             0.72472,            0.021087,            0.034267,                   0,           0.0023176,           0.0023176,           0.0023176
                  99,            0.025587,            0.043567,                   0,             0.91884,             0.95556,             0.97385,             0.72472,            0.021087,            0.034267,                   0,           0.0022384,           0.0022384,           0.0022384
                 100,            0.027975,            0.043323,                   0,             0.95753,             0.97778,             0.98326,             0.71382,            0.021409,             0.03402,                   0,           0.0021592,           0.0021592,           0.0021592
                 101,             0.02665,            0.046764,                   0,             0.95753,             0.97778,             0.98326,             0.71382,            0.021409,             0.03402,                   0,             0.00208,             0.00208,             0.00208
                 102,            0.025354,            0.050755,                   0,             0.95716,                   1,             0.98268,             0.72535,            0.019826,            0.032844,                   0,           0.0020008,           0.0020008,           0.0020008
                 103,            0.025023,            0.043845,                   0,             0.95716,                   1,             0.98268,             0.72535,            0.019826,            0.032844,                   0,           0.0019216,           0.0019216,           0.0019216
                 104,            0.025933,            0.045753,                   0,             0.97445,                   1,             0.98783,             0.69585,            0.022591,              0.0332,                   0,           0.0018424,           0.0018424,           0.0018424
                 105,            0.026051,            0.041746,                   0,             0.97445,                   1,             0.98783,             0.69585,            0.022591,              0.0332,                   0,           0.0017632,           0.0017632,           0.0017632
                 106,            0.025478,            0.042807,                   0,             0.97445,                   1,             0.98783,             0.69585,            0.022591,              0.0332,                   0,            0.001684,            0.001684,            0.001684
                 107,            0.024223,            0.038144,                   0,             0.97365,                   1,              0.9863,             0.70102,             0.02221,            0.033207,                   0,           0.0016048,           0.0016048,           0.0016048
                 108,             0.02431,            0.043915,                   0,             0.97365,                   1,              0.9863,             0.70102,             0.02221,            0.033207,                   0,           0.0015256,           0.0015256,           0.0015256
                 109,            0.024246,            0.040155,                   0,             0.97316,                   1,             0.98543,             0.76405,            0.017826,            0.031581,                   0,           0.0014464,           0.0014464,           0.0014464
                 110,            0.023203,            0.048839,                   0,             0.97316,                   1,             0.98543,             0.76405,            0.017826,            0.031581,                   0,           0.0013672,           0.0013672,           0.0013672
                 111,            0.022932,            0.041348,                   0,             0.97333,                   1,             0.98783,             0.78563,            0.017351,             0.03098,                   0,            0.001288,            0.001288,            0.001288
                 112,            0.020616,            0.037465,                   0,             0.97333,                   1,             0.98783,             0.78563,            0.017351,             0.03098,                   0,           0.0012088,           0.0012088,           0.0012088
                 113,            0.021748,            0.039201,                   0,             0.97374,                   1,             0.99065,             0.77776,            0.017558,            0.031087,                   0,           0.0011296,           0.0011296,           0.0011296
                 114,            0.021916,            0.038048,                   0,             0.97374,                   1,             0.99065,             0.77776,            0.017558,            0.031087,                   0,           0.0010504,           0.0010504,           0.0010504
                 115,            0.022354,            0.043453,                   0,             0.97374,                   1,             0.99065,             0.77776,            0.017558,            0.031087,                   0,           0.0009712,           0.0009712,           0.0009712
                 116,             0.02166,            0.038428,                   0,             0.97343,                   1,             0.99065,             0.77602,            0.017249,             0.03106,                   0,            0.000892,            0.000892,            0.000892
                 117,            0.024336,            0.042253,                   0,             0.97343,                   1,             0.99065,             0.77602,            0.017249,             0.03106,                   0,           0.0008128,           0.0008128,           0.0008128
                 118,            0.023386,            0.036733,                   0,             0.97361,                   1,              0.9913,             0.80703,            0.016637,            0.031034,                   0,           0.0007336,           0.0007336,           0.0007336
                 119,             0.02339,             0.04723,                   0,             0.97361,                   1,              0.9913,             0.80703,            0.016637,            0.031034,                   0,           0.0006544,           0.0006544,           0.0006544
                 120,            0.021297,            0.040018,                   0,              0.9736,                   1,             0.99217,             0.81033,            0.017367,            0.031076,                   0,           0.0005752,           0.0005752,           0.0005752
                 121,            0.021155,            0.039788,                   0,              0.9736,                   1,             0.99217,             0.81033,            0.017367,            0.031076,                   0,            0.000496,            0.000496,            0.000496
                 122,            0.021751,            0.038729,                   0,             0.97381,                   1,              0.9913,             0.80623,            0.016648,            0.030985,                   0,           0.0004168,           0.0004168,           0.0004168
                 123,             0.02063,            0.037787,                   0,             0.97381,                   1,              0.9913,             0.80623,            0.016648,            0.030985,                   0,           0.0003376,           0.0003376,           0.0003376
                 124,            0.020183,             0.04293,                   0,             0.97381,                   1,              0.9913,             0.80623,            0.016648,            0.030985,                   0,           0.0002584,           0.0002584,           0.0002584
